,model,seed,settings,base_rates,hash_train,hash_test,accuracy,balanced accuracy,f1,precision,true positive rate,true negative rate,false positive rate,false negative rate,selection rate,count,equalized_odds_difference,equalized_odds_ratio,demographic_parity_difference,demographic_parity_ratio
KNeighborsDist,KNeighborsDist,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.8783508802972663,0.6221949705830164,0.36372049976862564,0.5110533159947984,0.2823275862068966,0.9620623549591363,0.037937645040863686,0.7176724137931034,0.0680350349464744,11303,0.27155172413793105,0.19596541786743515,0.06261464653591081,0.3201838376101111
LightGBMXT,LightGBMXT,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9042732018048306,0.6730998559594181,0.48525214081826834,0.7183098591549296,0.36637931034482757,0.9798204015740086,0.020179598425991322,0.6336206896551724,0.0628151818101389,11303,0.34615384615384615,0.07345895879910572,0.15155790711346265,0.131986531986532
LightGBM,LightGBM,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9117048571175794,0.7267369966262959,0.5731394354148844,0.7082452431289641,0.4813218390804598,0.972152154172132,0.027847845827868027,0.5186781609195402,0.08369459435548085,11303,0.3173076923076923,0.1472942683317323,0.17417762457976935,0.15590843472881008
RandomForestGini,RandomForestGini,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9048925064142264,0.7003139362742199,0.5262230057293962,0.6807297605473204,0.42887931034482757,0.9717485622036122,0.028251437796387852,0.5711206896551724,0.07759002034858002,11303,0.3285256410256411,0.207020702070207,0.15304906591769862,0.16155729105956407
RandomForestEntr,RandomForestEntr,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9052463947624525,0.6940320577275685,0.5182186234817814,0.6931407942238267,0.41379310344827586,0.9742710120068611,0.025728987993138937,0.5862068965517241,0.07352030434397948,11303,0.34935897435897434,0.1761926192619262,0.17953955487467552,0.12992369560734174
CatBoost,CatBoost,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9099354153764487,0.7189355957678512,0.5600691443388073,0.702819956616052,0.46551724137931033,0.9723539501563919,0.027646049843608113,0.5344827586206896,0.08157126426612404,11303,0.3910256410256411,0.12421242124212421,0.19669985956849229,0.13037956822350782
ExtraTreesGini,ExtraTreesGini,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9008227904096258,0.668662373863013,0.4724705882352941,0.684856753069577,0.36063218390804597,0.97669256381798,0.023307436182019976,0.639367816091954,0.06485003981243917,11303,0.22756410256410253,0.1456812347901457,0.13588876122388188,0.16478127247760413
ExtraTreesEntr,ExtraTreesEntr,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.8999380695390604,0.6644529270275568,0.46423495973472284,0.6815020862308763,0.35201149425287354,0.9768943598022399,0.023105640197760065,0.6479885057471264,0.06361143059364771,11303,0.22435897435897437,0.18001800180018002,0.13460147240308099,0.1520107238605898
NeuralNetFastAI,NeuralNetFastAI,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9037423692824914,0.7416476105731817,0.5740015661707125,0.6308089500860585,0.5265804597701149,0.9567147613762487,0.04328523862375139,0.4734195402298851,0.10280456515969212,11303,0.3129973474801061,0.19658119658119658,0.17165862678523797,0.22883662360874155
XGBoost,XGBoost,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9097584712023357,0.7330370324624793,0.5764119601328904,0.6830708661417323,0.4985632183908046,0.967510846534154,0.03248915346584603,0.5014367816091954,0.0898876404494382,11303,0.37339743589743585,0.15670028818443804,0.20860462147325418,0.12386058981233244
LinearModel,LinearModel,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.9019729275413607,0.6739494069053658,0.48272642390289444,0.6893333333333334,0.3714080459770115,0.9764907678337201,0.02350923216627989,0.6285919540229885,0.06635406529240025,11303,0.4326923076923077,0.207922419460881,0.11821564363508132,0.18486189912089282
